id,race,age,sex,marital,satjob,hapmar,life,postlife,educ,degree,paeduc,maeduc,speduc,income,health,hompop,agewed,sibs,paeindex,educindx,maeindex
1,1,NA,2,2,NA,NA,2,2,12,1,NA,NA,NA,NA,3,1,19,1,NA,2,NA
2,1,33,2,5,1,NA,1,NA,16,4,16,16,NA,16,1,1,NA,2,2,2,2
3,2,43,2,3,4,NA,1,2,15,2,NA,11,NA,10,2,1,21,1,NA,2,1
4,1,31,2,1,1,1,2,1,16,3,9,12,15,16,2,3,27,1,1,2,2
5,1,47,1,3,1,NA,1,NA,16,3,16,12,NA,17,1,1,22,2,2,2,2
6,1,35,2,3,3,NA,1,NA,17,3,12,12,NA,16,1,2,21,4,2,2,2
7,1,65,1,1,2,1,2,NA,18,4,8,8,20,15,1,2,26,1,1,2,1
8,1,19,1,5,NA,NA,3,1,12,1,16,16,NA,NA,2,5,NA,1,2,2,2
9,NA,26,2,5,1,NA,1,2,10,0,NA,NA,NA,NA,3,4,NA,11,NA,1,NA
10,NA,42,2,1,1,1,1,1,12,1,16,NA,4,9,1,6,22,3,2,2,NA
11,2,49,1,3,NA,NA,2,2,12,1,NA,NA,NA,NA,2,3,22,4,NA,2,NA
12,1,43,2,1,1,1,2,2,12,1,8,12,12,15,2,5,20,1,1,2,2
13,NA,19,2,5,NA,NA,1,1,11,0,NA,9,NA,NA,1,5,NA,3,NA,1,1
14,2,57,2,3,NA,NA,2,2,9,0,NA,NA,NA,NA,3,1,19,11,NA,1,NA
15,2,36,2,1,2,2,2,1,13,1,20,12,16,16,1,5,23,11,2,2,2
16,2,40,2,1,3,1,1,1,16,3,16,12,12,13,NA,6,20,2,2,2,2
17,2,77,2,5,NA,NA,2,2,6,0,NA,NA,NA,NA,2,1,NA,7,NA,1,NA
18,1,84,1,1,NA,1,2,2,8,0,8,8,12,NA,3,2,29,9,1,1,1
19,2,37,2,1,2,1,1,2,16,3,10,10,15,17,1,4,23,10,1,2,1
20,NA,19,1,5,NA,NA,2,1,11,0,12,12,NA,11,2,4,NA,1,2,1,2
21,1,20,2,1,2,1,2,1,12,1,NA,10,8,9,2,4,18,1,NA,2,1
22,1,19,2,5,3,NA,2,1,11,0,NA,11,NA,11,3,5,NA,2,NA,1,1
23,NA,38,1,1,2,1,2,1,16,1,NA,NA,16,14,2,4,26,2,NA,2,NA
24,1,72,2,2,1,NA,2,1,10,0,3,5,NA,15,3,5,26,6,1,1,1
25,NA,40,1,1,1,2,1,1,16,3,14,16,14,14,2,2,26,11,2,2,2
26,2,44,2,4,4,NA,2,1,12,1,7,9,NA,5,2,4,19,2,1,2,1
27,1,86,2,2,NA,NA,3,1,8,0,8,8,NA,10,4,1,35,6,1,1,1
28,1,49,2,3,1,NA,2,1,10,0,NA,8,NA,NA,2,1,21,2,NA,1,1
29,1,52,2,1,1,2,1,1,8,0,NA,NA,12,17,2,2,18,5,NA,1,NA
30,2,35,2,1,2,1,1,2,20,3,12,12,15,14,2,3,29,6,2,2,2
31,1,86,2,2,3,NA,NA,NA,16,3,NA,12,NA,NA,3,1,21,4,NA,2,2
32,1,52,2,1,2,1,2,1,8,0,3,7,8,8,2,3,20,9,1,1,1
33,1,34,2,1,1,1,2,NA,9,0,4,1,11,5,1,4,22,13,1,1,1
34,2,35,1,5,4,NA,2,2,12,1,NA,8,NA,9,2,1,NA,2,NA,2,1
35,1,67,2,1,2,2,2,2,12,1,NA,12,12,NA,2,2,21,2,NA,2,2
36,1,60,2,1,2,2,2,1,12,1,8,8,12,NA,3,2,22,2,1,2,1
37,1,35,1,1,2,2,2,1,16,3,10,12,12,16,1,5,24,3,1,2,2
38,1,23,1,5,2,NA,2,1,12,1,14,12,NA,17,2,5,NA,2,2,2,2
39,1,39,2,1,1,1,2,1,16,3,12,8,16,NA,1,4,28,1,2,2,1
40,1,33,2,1,1,2,2,2,9,0,9,6,6,NA,1,4,22,3,1,1,1
41,1,37,2,3,1,NA,1,1,15,1,NA,12,NA,16,1,3,21,2,NA,2,2
42,1,34,1,1,2,2,2,1,12,1,12,12,12,14,2,6,21,11,2,2,2
43,1,32,2,1,1,1,2,1,12,1,12,12,12,16,2,4,20,3,2,2,2
